DATE,DEXBZUS
1997-02-21,1.05002500000000000000
1997-02-28,1.05092000000000000000
1997-03-07,1.05210000000000000000
1997-03-14,1.05416000000000000000
1997-03-21,1.06062000000000000000
1997-03-28,1.06064000000000000000
1997-04-04,1.05918000000000000000
1997-04-11,1.05852000000000000000
1997-04-18,1.06082000000000000000
1997-04-25,1.06398000000000000000
1997-05-02,1.06344000000000000000
1997-05-09,1.06500000000000000000
1997-05-16,1.06734000000000000000
1997-05-23,1.06932000000000000000
1997-05-30,1.07290000000000000000
1997-06-06,1.07222000000000000000
1997-06-13,1.07326000000000000000
1997-06-20,1.07576000000000000000
1997-06-27,1.07680000000000000000
1997-07-04,1.07695000000000000000
1997-07-11,1.07918000000000000000
1997-07-18,1.08066000000000000000
1997-07-25,1.08166000000000000000
1997-08-01,1.08298000000000000000
1997-08-08,1.08460000000000000000
1997-08-15,1.08642000000000000000
1997-08-22,1.08950000000000000000
1997-08-29,1.09190000000000000000
1997-09-05,1.09215000000000000000
1997-09-12,1.09162000000000000000
1997-09-19,1.09380000000000000000
1997-09-26,1.09536000000000000000
1997-10-03,1.09654000000000000000
1997-10-10,1.09792000000000000000
1997-10-17,1.09920000000000000000
1997-10-24,1.10070000000000000000
1997-10-31,1.10342000000000000000
1997-11-07,1.10514000000000000000
1997-11-14,1.10695000000000000000
1997-11-21,1.10760000000000000000
1997-11-28,1.10972500000000000000
1997-12-05,1.11052000000000000000
1997-12-12,1.11366000000000000000
1997-12-19,1.11394000000000000000
1997-12-26,1.11512500000000000000
1998-01-02,1.11627500000000000000
1998-01-09,1.11696000000000000000
1998-01-16,1.11962000000000000000
1998-01-23,1.12112500000000000000
1998-01-30,1.12270000000000000000
1998-02-06,1.12444000000000000000
1998-02-13,1.12642000000000000000
1998-02-20,1.12907500000000000000
