DATE,DEXVZUS
2018-05-17,69825.0
2018-05-18,69825.0
2018-05-21,78553.125
2018-05-22,78553.125
2018-05-23,78553.125
2018-05-24,78553.125
2018-05-25,78553.125
2018-05-28,.
2018-05-29,79800.0
2018-05-30,79800.0
2018-05-31,79800.0
2018-06-01,79800.0
2018-06-04,79800.0
2018-06-05,79800.0
2018-06-06,79800.0
2018-06-07,79800.0
2018-06-08,79800.0
2018-06-11,79800.0
2018-06-12,79800.0
2018-06-13,79800.0
2018-06-14,79800.0
2018-06-15,79800.0
2018-06-18,79800.0
2018-06-19,79800.0
2018-06-20,79800.0
2018-06-21,79800.0
2018-06-22,79800.0
2018-06-25,95760.0
2018-06-26,95760.0
2018-06-27,95760.0
2018-06-28,95760.0
2018-06-29,95760.0
2018-07-02,114712.5
2018-07-03,114712.5
2018-07-04,.
2018-07-05,114712.5
2018-07-06,114712.5
2018-07-09,114712.5
2018-07-10,119700.0
2018-07-11,119700.0
2018-07-12,119700.0
2018-07-13,119700.0
2018-07-16,119700.0
2018-07-17,119700.0
2018-07-18,119700.0
2018-07-19,119700.0
2018-07-20,119700.0
2018-07-23,143640.0
2018-07-24,143640.0
2018-07-25,143640.0
2018-07-26,143640.0
2018-07-27,143640.0
2018-07-30,172368.0
2018-07-31,172368.0
2018-08-01,172368.0
2018-08-02,172368.0
2018-08-03,172368.0
2018-08-06,206841.6
2018-08-07,206841.6
2018-08-08,206841.6
2018-08-09,206841.6
2018-08-10,206841.5938
2018-08-13,248209.9219
2018-08-14,248209.9219
2018-08-15,248209.9219
2018-08-16,248209.9219
2018-08-17,248209.9219
2018-08-20,2.4821
2018-08-21,59.85
2018-08-22,59.85
2018-08-23,60.1193
2018-08-24,60.1193
2018-08-27,60.0994
2018-08-28,60.7378
2018-08-29,60.7378
2018-08-30,60.9672
2018-08-31,60.9672
2018-09-03,.
2018-09-04,60.9373
2018-09-05,60.8675
2018-09-06,61.4161
2018-09-07,61.4161
2018-09-10,61.5158
2018-09-11,61.5158
2018-09-12,61.5158
2018-09-13,61.7752
2018-09-14,61.7752
2018-09-17,61.1767
2018-09-18,61.2365
2018-09-19,61.2365
2018-09-20,60.9572
2018-09-21,60.9572
2018-09-24,61.5158
2018-09-25,61.7552
2018-09-26,61.7552
2018-09-27,61.8849
2018-09-28,61.8849
2018-10-01,62.0146
2018-10-02,62.1044
2018-10-03,62.1044
2018-10-04,62.1842
2018-10-05,62.1842
2018-10-08,.
2018-10-09,62.6231
2018-10-10,62.6231
2018-10-11,62.7228
2018-10-12,62.7228
2018-10-15,62.7228
2018-10-16,62.8724
2018-10-17,62.8724
2018-10-18,63.3113
2018-10-19,63.3113
2018-10-22,63.6505
2018-10-23,63.83
2018-10-24,63.83
2018-10-25,64.0096
2018-10-26,64.0096
2018-10-29,64.1393
2018-10-30,64.3886
2018-10-31,64.3886
2018-11-01,64.5782
2018-11-02,64.5782
2018-11-05,64.7278
2018-11-06,64.7278
2018-11-07,64.7278
2018-11-08,64.9373
2018-11-09,64.9373
2018-11-12,.
2018-11-13,65.2664
2018-11-14,65.2664
2018-11-15,67.042
2018-11-16,67.042
2018-11-19,69.845
2018-11-20,72.608
2018-11-21,72.608
2018-11-22,.
2018-11-23,77.0169
2018-11-26,79.3611
2018-11-27,82.0544
2018-11-28,82.0544
2018-11-29,85.6553
2018-11-30,85.6553
2018-12-03,151.2609
2018-12-04,156.7272
2018-12-05,.
2018-12-06,188.0687
2018-12-07,188.0687
2018-12-10,212.1583
2018-12-11,253.0957
2018-12-12,253.0957
2018-12-13,300.6166
2018-12-14,300.6166
2018-12-17,351.8382
2018-12-18,387.8579
2018-12-19,387.8579
2018-12-20,446.501
2018-12-21,446.501
2018-12-24,.
2018-12-25,.
2018-12-26,503.1091
2018-12-27,562.5701
2018-12-28,562.5701
2018-12-31,636.5846
2019-01-01,.
2019-01-02,636.5846
2019-01-03,636.5846
2019-01-04,636.5846
2019-01-07,636.5846
2019-01-08,702.8086
2019-01-09,702.8086
2019-01-10,793.4714
2019-01-11,793.4714
2019-01-14,.
2019-01-15,947.0963
2019-01-16,947.0963
2019-01-17,999.2357
2019-01-18,999.2357
2019-01-21,.
2019-01-22,1321.5877
2019-01-23,1321.5878
2019-01-24,1568.6187
2019-01-25,1568.6186
2019-01-28,2079.179
2019-01-29,3290.8723
2019-01-30,3290.8722
2019-01-31,3290.8722
2019-02-01,3290.8722
2019-02-04,3289.9546
2019-02-05,3288.977
2019-02-06,3289.1565
2019-02-07,3289.3759
2019-02-08,3289.4657
2019-02-11,3289.775
2019-02-12,3289.4657
2019-02-13,3289.8647
2019-02-14,3289.9844
2019-02-15,3290.1341
2019-02-18,.
2019-02-19,3289.9645
2019-02-20,.
2019-02-21,3290.3934
2019-02-22,3290.6028
2019-02-25,3291.2812
2019-02-26,3291.7201
2019-02-27,3293.5754
2019-02-28,3290.0742
2019-03-01,3293.9844
2019-03-04,3292.8173
2019-03-05,3292.8173
2019-03-06,3292.8173
2019-03-07,3290.6627
2019-03-08,3290.6627
2019-03-11,3291.341
2019-03-12,3291.341
2019-03-13,3291.341
2019-03-14,3291.341
2019-03-15,3289.6852
2019-03-18,3287.8797
2019-03-19,3289.4657
2019-03-20,3289.4657
2019-03-21,3290.7725
2019-03-22,3288.9271
2019-03-25,3286.7725
2019-03-26,3286.2438
2019-03-27,3286.2438
2019-03-28,3286.2438
2019-03-29,3286.2438
2019-04-01,3286.2438
2019-04-02,3287.6802
2019-04-03,3287.9096
2019-04-04,3290.2139
2019-04-05,3292.159
2019-04-08,3293.9844
2019-04-09,3299.9993
2019-04-10,3301.0268
2019-04-11,3303.5405
2019-04-12,3306.0542
2019-04-15,3310.6626
2019-04-16,4089.75
2019-04-17,4103.0766
2019-04-18,4103.0766
2019-04-19,4103.0766
2019-04-22,4103.0766
2019-04-23,5187.0
2019-04-24,5188.0274
2019-04-25,5188.8753
2019-04-26,5188.9651
2019-04-29,5189.2544
2019-04-30,5189.8828
2019-05-01,5189.9327
2019-05-02,5189.9327
2019-05-03,5190.202
2019-05-06,5189.8429
2019-05-07,5189.9227
2019-05-08,5189.803
2019-05-09,5189.7631
2019-05-10,5189.6135
2019-05-13,5189.5635
2019-05-14,5249.3954
2019-05-15,5242.9838
2019-05-16,5355.5059
2019-05-17,5388.6802
2019-05-20,5543.0673
2019-05-21,5531.887
2019-05-22,5619.5436
2019-05-23,5624.349
2019-05-24,5627.3933
2019-05-27,.
2019-05-28,5755.399
2019-05-29,5755.3989
2019-05-30,5815.0758
2019-05-31,5716.5669
2019-06-03,5716.5669
2019-06-04,5873.2446
2019-06-05,5889.0375
2019-06-06,5904.4388
2019-06-07,6018.6668
2019-06-10,6034.084
2019-06-11,6071.534
2019-06-12,6071.5342
2019-06-13,6144.3064
2019-06-14,6161.5871
2019-06-17,6228.7211
2019-06-18,6228.7212
2019-06-19,6202.8126
2019-06-20,6257.5687
2019-06-21,6276.2269
2019-06-24,6506.385
2019-06-25,6506.3848
2019-06-26,6343.2671
2019-06-27,6462.9532
2019-06-28,6550.0476
2019-07-01,6716.4553
2019-07-02,6721.5609
2019-07-03,6668.2093
2019-07-04,.
2019-07-05,6904.9297
2019-07-08,7187.0562
2019-07-09,6959.7515
2019-07-10,7085.6069
2019-07-11,7126.6221
2019-07-12,7138.5986
2019-07-15,7186.7166
2019-07-16,7227.9257
2019-07-17,7227.7363
2019-07-18,7326.41
2019-07-19,7457.0493
2019-07-22,7485.1459
2019-07-23,7590.4562
2019-07-24,7590.4561
2019-07-25,8047.6924
2019-07-26,8535.8995
2019-07-29,8816.3119
2019-07-30,9806.3667
2019-07-31,10704.2831
2019-08-01,11236.3199
2019-08-02,11879.4422
2019-08-05,11909.8633
2019-08-06,12011.4765
2019-08-07,12528.0595
2019-08-08,12776.523
2019-08-09,12971.9326
2019-08-12,13192.1268
2019-08-13,13579.2824
2019-08-14,13728.672
2019-08-15,13886.662
2019-08-16,14036.4553
2019-08-19,14447.3284
2019-08-20,14447.3281
2019-08-21,14606.255
2019-08-22,15645.5677
2019-08-23,15843.9931
2019-08-26,16035.4135
2019-08-27,16474.7193
2019-08-28,17607.6048
2019-08-29,18364.0734
2019-08-30,20459.774
2019-09-02,.
2019-09-03,23271.8172
2019-09-04,23781.1892
2019-09-05,23616.4142
2019-09-06,20907.5176
2019-09-09,20379.0349
2019-09-10,20455.0789
2019-09-11,21128.9399
2019-09-12,21175.4074
2019-09-13,21391.0349
2019-09-16,21501.5249
2019-09-17,21501.5254
2019-09-18,19839.5671
2019-09-19,19790.0709
2019-09-20,19822.0563
2019-09-23,19666.0254
2019-09-24,19720.7742
2019-09-25,19938.596
2019-09-26,20656.4001
2019-09-27,20851.4159
2019-09-30,20975.5097
2019-10-01,20694.5259
2019-10-02,20374.5745
2019-10-03,20203.9537
2019-10-04,20112.9486
2019-10-07,20167.4812
2019-10-08,20062.5987
2019-10-09,19614.6394
2019-10-10,19708.8834
2019-10-11,19365.1175
2019-10-14,.
2019-10-15,19684.0723
2019-10-16,18907.6443
2019-10-17,18807.0796
2019-10-18,19125.7412
2019-10-21,18663.7878
2019-10-22,18328.6044
2019-10-23,18334.4582
2019-10-24,18540.6793
2019-10-25,19708.6746
2019-10-28,20403.1702
2019-10-29,21605.7673
2019-10-30,23546.9264
2019-10-31,24354.028
2019-11-01,23344.4006
2019-11-04,22437.6783
2019-11-05,22437.6777
2019-11-06,22659.1538
2019-11-07,23474.5446
2019-11-08,24167.7628
2019-11-11,.
2019-11-12,26714.6124
2019-11-13,27892.111
2019-11-14,29874.8047
2019-11-15,30010.644
2019-11-18,29309.7802
2019-11-19,28882.3261
2019-11-20,30358.9651
2019-11-21,32015.8372
2019-11-22,32109.9852
2019-11-25,32557.146
2019-11-26,33286.8192
2019-11-27,35381.9375
2019-11-28,.
2019-11-29,38108.7104
2019-12-02,38883.3776
